Video-20220107_031200-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220728_003652-Meeting Recording.mp4  lines= x; shlokas= y
Video-20220730_011229-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221021_010622-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221026_011613-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221028_010550-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221029_011219-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221104_012158-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221109_011859-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221111_011205-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221130_011553-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221201_010359-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221202_010408-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221207_014108-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221208_011914-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221216_010524-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221221_011013-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221222_010405-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221229_010959-Meeting Recording.mp4  lines= x; shlokas= y
Video-20221230_011546-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230104_011420-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230111_011251-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230112_011054-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230113_005723-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230308_010605-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230309_010210-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230315_012309-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230316_012737-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230317_012332-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230322_011427-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230323_011602-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230324_011102-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230327_010842-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230329_011059-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230330_012842-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230403_011723-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230406_011532-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230408_010247-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230410_010709-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230411_010440-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230413_010100-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230417_010516-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230418_011102-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230419_010457-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230424_005507-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230425_010343-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230426a_010011-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230426b_001542-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230427_010146-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230428_010737-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230515_011803-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230516_010312-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230518_011432-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230519_011441-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230522_010325-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230523_010355-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230524_011200-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230525_010825-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230526_010210-Meeting Recording.mp4  lines= x; shlokas= y
Video-2023053a_010355-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230530_010917-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230531_004435-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230601_010111-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230606_010857-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230612_010406-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230613_010259-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230615_010709-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230616_005922-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230620_010315-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230621_010358-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230703_010424-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230705_010941-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230710_011115-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230711_010657-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230714_010745-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230717_005147-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230718_010829-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230719_005648-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230720_010120-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230721_010830-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230724_010156-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230725_011127-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230726_010338-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230726a_013739-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230727_010121-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230727a_002711-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230731_005909-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230801_010911-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230804_005905-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230807_010401-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230808_010539-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230809_010122-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230802_011529-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230810_011355-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230817_010747-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230821_010133-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230822_011152-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230824_010032-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230825_010552-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230828_010446-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230829_005829-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230831_010003-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230908_010250-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230912_001407-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230912_010827-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230913_010322-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230915_010135-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230918_010746-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230920_010257-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230921_010256-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230922_011253-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230926_011030-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230927_010527-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230928_010115-Meeting Recording.mp4  lines= x; shlokas= y
Video-20230929_005947-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231002_010349-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231004_010507-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231004a_003749-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231004b_010358-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231005_010224-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231006_005947-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231009_010732-Meeting Recording.mp4  lines= x; shlokas= y
Video-20231010_010149-Meeting Recording.mp4  lines= 034.13-034.16 ; shlokas= 14,15
Video-20231012_010551-Meeting Recording.mp4  lines= 034.17-034.24 ; shlokas= 16,17
Video-20231013_003307-Meeting Recording.mp4  Refer usha_alternate_numbers.txt 
Video-20231013_005637-Meeting Recording.mp4  lines= 034.25-034.28 ; shlokas= 18
Video-20231016_010047-Meeting Recording.mp4  lines= 034.29-035.06 ; shlokas= 19
; STOP adjusting the date in the filename of the mp4 file !
Video-20231018_010516-Meeting Recording.mp4  lines= 035.07-035-12; shlokas= NONE
Video-20231019_010038-Meeting Recording.mp4  lines= 035.13-035.18; shlokas= 20,21,22 (23*)
Video-20231020_004946-Meeting Recording.mp4  lines= 035.19-035.24; shlokas= 23,24,25 (26*)
Video-20231025_010936-Meeting Recording.mp4  lines= 035.25-036.04; shlokas= 26,27
Video-20231026_010012-Meeting Recording.mp4  lines= 036.05-036.16; shlokas= 28,29,30
Video-20231031_005836-Meeting Recording.mp4  lines= 036.17-036.27; shlokas= NONE
Video-20231102_010557-Meeting Recording.mp4  lines= 036.28-037.08; shlokas= 31
Video-20231103_005419-Meeting Recording.mp4  lines= 037.09-037.16; shlokas= 32
Video-20231108_010247-Meeting Recording.mp4  lines= 037.17-037.27; shlokas= 33,34
Video-20231109_010457-Meeting Recording.mp4  lines= 037.28-037.36; shlokas= 35,36
Video-20231110_010519-Meeting Recording.mp4  lines= 037.37-038.04; snlokas= 37,38,39
Video-20231111_010020-Meeting Recording.mp4  lines= 038.05-038.10; shlokas= 40,41; त्यक्त्वा निहन्ति द्विपम् 20:00 ff
Video-20231114_011247-Meeting Recording.mp4  lines= 038.11-038.19; shlokas= 42,43
Video-20231116_010918-Meeting Recording.mp4  lines= 039.01-039.08; shlokas= 44,45
Video-20231117_010719-Meeting Recording.mp4  lines= 039.09-039.18; shlokas= 46,47
Video-20231118_010627-Meeting Recording.mp4  lines= 039.19-039.27; shlokas= 48,49
Video-20231121_010402-Meeting Recording.mp4  lines= 039.26-039.29; shlokas= 49,50
Video-20231122_010144-Meeting Recording.mp4  lines= 040.01-040.08; shlokas= 51,52
Video-20231128_010207-Meeting Recording.mp4  lines= 040.09-040.16; shlokas= 53,54,55,56
Video-20231129_011326-Meeting Recording.mp4  lines= 040.15-040.19; उच्चारणविचारः pronunciation discussion
Video-20231130_004859-Meeting Recording.mp4  lines= 040.20-040.29; shlokas= 57,58,59
Video-20231201_010500-Meeting Recording.mp4  lines= 041.01-041.06; shlokas= 60,61
Video-20231202_010522-Meeting Recording.mp4  Dhatu Discussion
Video-20231221_010752-Meeting Recording.mp4  lines=041.07-041.12; shlokas= 62,63
Video-20231222_010552-Meeting Recording.mp4  lines=041.13-041.20; shlokas = 64,65
break in class
Video-20240109_010343-Meeting Recording.mp4  lines=041.21-041.26;
Video-20240110_002242-Meeting Recording.mp4  lines=041.27-042.02; shlokas = 66. गुरुः उच्चारणे connection lost
Video-20240110_010652-Meeting Recording.mp4  lines=042.01-042.06; shlokas = 66,67 (resume)
Video-20240111_010236-Meeting Recording.mp4  lines=042.07-042.11; shlokas = 68,69
Video-20240113_010415-Meeting Recording.mp4  lines=042.12-042.17; shlokas = 70,71,72 tanana72
Video-20240117_011354-Meeting Recording.mp4  lines=042.18-042.23; shlokas = 73,74,75
Video-20240118_010452-Meeting Recording.mp4  lines=042.24-043.02; shlokas = 76,77
Video-20240120_010138-Meeting Recording.mp4  chandas discussion - re shloka 77 begin chandas_notes.txt
Video-20240124_010517-Meeting Recording.mp4  lines=043.03-043.09; shlokas = 78,79
Video-20240126_010303-Meeting Recording.mp4  lines=043.10-043.17;
Video-20240127_010257-Meeting Recording.mp4  lines=043.17-043.23; shlokas = 80
Video-20240130_005927-Meeting Recording.mp4  lines=043.24-043.29;
Video-20240131_005940-Meeting Recording.mp4  lines=043.30-043.39; shlokas = 81,82
Video-20240201_004834-Meeting Recording.mp4  lines=044.01-044.12; shlokas = 83
Video-20240203_010458-Meeting Recording.mp4  lines=044.13-044.27; shlokas = 84
Video-20240206_004901-Meeting Recording.mp4  lines=044.28-044.36; shlokas = 85
Video-20240209_004858-Meeting Recording.mp4  lines=044.35-045.01; shlokas = 85 (further discuss)
Video-20240210_005856-Meeting Recording.mp4  lines=045.02-045.16; shlokas = 86,87,88
Video-20240214_011018-Meeting Recording.mp4  discuss https://samskrtam.info/hitopadesa.php
Video-20240215_010302-Meeting Recording.mp4  lines=045.15-045.27; shlokas = 88
Video-20240216_010104-Meeting Recording.mp4  lines=045.27-045.37
Video-20240217_005623-Meeting Recording.mp4  Discuss slp1 transcoding
Video-20240224_002242-Meeting Recording.mp4  lines=046.01-046.03; also discuss अ आ in अत्रान्तरे
Video-20240224_010959-Meeting Recording.mp4  lines=046.03-046.12;
Video-20240227_010253-Meeting Recording.mp4  lines=046.13-046.14; shlokas = 89; discuss ';#' comments
Video-20240228_004112-Meeting Recording.mp4  lines=046.15-046.18; shlokas = 90, 91
Video-20240306_010711-Meeting Recording.mp4  lines=046.19-046.25; shlokas = 92,93,94
Video-20240307_011303-Meeting Recording.mp4  lines=047.01-047.07; shlokas = 95,96
Video-20240308_010714-Meeting Recording.mp4  lines=047.08-047.13; shlokas = 97,98,99
Video-20240309_004528-Meeting Recording.mp4  lines=047.14-047.17; shlokas = 99,100,101
Video-20240313_010614-Meeting Recording.mp4  lines=047.16-047.19; shlokas = 101,102
Video-20240314_011351-Meeting Recording.mp4  lines=047.20-048.04; shlokas = 103,104,105
Video-20240315_011203-Meeting Recording.mp4  lines=048.05-048.14; shlokas = 106,107
Video-20240316_010529-Meeting Recording.mp4  lines=048.13-048.15; shlokas = 107,108 बहुव्रीहि adjectives
Video-20240319_010449-Meeting Recording.mp4  lines=048.15-048.24; shlokas = 108
Video-20240320_011220-Meeting Recording.mp4  lines=048.25-048.33; shlokas = 109
Video-20240322_011119-Meeting Recording.mp4  lines=048.33-049.05;
Video-20240328_010856-Meeting Recording.mp4  lines=049.06-049.12;
Video-20240330_010154-Meeting Recording.mp4  lines=049.12-049.25;
Video-20240402_010401-Meeting Recording.mp4  lines=049.24-050.01;
Video-20240403_010242-Meeting Recording.mp4  lines=050.01-050.10;
Video-20240404_010941-Meeting Recording.mp4  lines=050.11-050.16;
Video-20240406_005506-Meeting Recording.mp4  lines=050.16-050.25; end स्वर्णरेखा कथा
Video-20240409_010336-Meeting Recording.mp4  lines=050.26-050.34;
Video-20240410_010641-Meeting Recording.mp4  lines=050.34-051.10;
Video-20240412_010028-Meeting Recording.mp4  lines=051.11-051.25; shlokas = 117
Video-20240413_005316-Meeting Recording.mp4  lines=051.26-051.34; shlokas = 118;
Video-20240416_010354-Meeting Recording.mp4  lines=051.35-052.07; shlokas = 119;
Video-20240417_011040-Meeting Recording.mp4  lines=052.08-052.09; shlokas = 120; मदोन्मत्त and etymology of 'mad'
Video-20240418_010349-Meeting Recording.mp4  lines=052.10-052.20;
Video-20240419_004855-Meeting Recording.mp4  lines=052.21-052.34; shlokas = 123;?
Video-20240420_004413-Meeting Recording.mp4  lines=052.35-053.03;
Video-20240423_010116-Meeting Recording.mp4  lines=053.04-053.05; shlokas = 122; अ आ
Video-20240425_010514-Meeting Recording.mp4  lines=053.06-053.14; shlokas = 123,124
Video-20240426_004222-Meeting Recording.mp4  lines=053.15-053.19; shlokas = 125
Video-20240430_010655-Meeting Recording.mp4  lines=053.20-054.02; shlokas = 126,127,128
Video-20240504_000458-Meeting Recording.mp4  lines=054.03-054.12; shlokas = 129,130,131
Video-20240506_235952-Meeting Recording.mp4  lines=054.13-054.24; shlokas = 132,133,134
Video-20240510_000043-Meeting Recording.mp4  lines=054.25-054.31; shlokas = 135,136,137
Video-20240511_000913-Meeting Recording.mp4  lines=054.32-055.05; shlokas = 138,139
Video-20240514_000452-Meeting Recording.mp4  lines=055.06-055.14; shlokas = 140,141
Video-20240514_235917-Meeting Recording.mp4  lines=055.15-055.24; shlokas = 142,143,144
Video-20240516_000720-Meeting Recording.mp4  lines=055.24-056.05; shlokas = 144,145 सर्वाङ्गैः  
Video-20240522_001535-Meeting Recording.mp4  lines=056.06-056.20; shlokas = 146,147;
Video-20240524_000526-Meeting Recording.mp4  lines=056.21-056.27; shlokas = 148,149;
Video-20240528_000336-Meeting Recording.mp4  lines=056.28-057.04; 
Video-20240529_000532-Meeting Recording.mp4  lines=057.05-057.15; shlokas = 150;
Video-20240530_000108-Meeting Recording.mp4  lines=057.16-057.27; shlokas = 151,152,153;
Video-20240531_000346-Meeting Recording.mp4  lines=057.28-057.34; (bhAva) 


चतुष्पञ्चाशत्  चतुःपञ्चाशत् 
035.07 करटक, दमनक first mention.

typo 057.33 प्राप्तकालकायमनुष्ठीयताम् -> प्राप्तकालकार्यमनुष्ठीयताम्  
typo 058.04 कश्चिदाश्रयसौन्दर्याद् अत्ते -> कश्चिदाश्रयसौन्दर्याद्धत्ते  sent
typo 057.15 राजसंश्रेयाः  -> राजसंश्रयाः   sent

१ २ ३ ४ ५ ६ ७ ८ ९ 
सर्वाङ्गैः  
रविवासरः, सोमवासरः, मङ्गलवासरः, बुधवासरः, गुरुवासरः, शुक्रवासरः, शनिवासरः

भू भृ
बुद्ध्या

अङ्गाङ्गिभाव remind Usha

typo 057.16 कोऽर्थान् प्राप्य -> कोऽर्थान्प्राप्य
typo तत टिट्टिभी  -> ततष्टित्तिभी
typo 056.04 संधातव्यस्तद् अतीवानुचितम्  -> संधातव्यस्तदतीवानुचितम्
typo 056.08 शक्नोति  ->  समर्थः (noted in skype)
-------------
05-11-2024
यततो ह्यपि कौन्तेय पुरुषस्य विपश्चितः ।
इन्द्रियाणि प्रमाथीनि हरन्ति प्रसभम् मनः (?) verse in bhagavad gita
विपश्चित् a wise man; 
प्रमाथिन् stirring about, प्रसभम् violently
https://shlokam.org/bhagavad-gita/2-60/
-------------
typo 55.08 कार्ये  -> कार्यं २.६०

Edgar Casey, Many Mansions, chapter on women.  Ref. 2.139 सा स्त्री यानुविधायिनी
/xampp/htdocs/funderburkjim/hitopadesha-kale/hitopadesha-slp1/deva-format/hitokale_10.xml
एकबाहुर्नरः  एकबाहुः नरः  one-armed man  (a character in the drama 'The fugitive' - tv series and movie)
  https://github.com/sanskrit-lexicon/csl-websanlexicon/tree/master/v02/makotemplates/web/utilities  link accompanying previous video Video-20240217_005623-Meeting Recording.mp4

Video-20240223_004414-Meeting Recording.mp4  Discuss hitokale_10.xml



emacs selection from hitokale_deva_p.txt
\(054...F:\)\|\(055...F:\)\|\(056...F:\)\|\(057...F:\)\|\(058...F:\)

chandas_notes.txt
Sanskrit numbers 80 अशीति -> अशीतः सङ्ख्यानम् प्रातिपदिकम्  (funderburkjim/sanskrit_numbers  repository)

At about time 8:12 of Bhagavadgita chanting, Chap 10, verse 30:
prahlAda   pronounced pralhAda  (cf  brahma)
(setq nxml-child-indent nil)

-R recursive
-n do not overwrite an existing file 
cp -Rn /e/UzaSanskritClass /f/
